field,count
images__list_of.large,3162934
images__list_of.variant,3162934
images__list_of.hi_res,3155740
images__list_of.thumb,3155740
videos__list_of.title,1088234
videos__list_of.url,1088234
videos__list_of.user_id,1088234
average_rating,710503
bought_together,710503
categories,710503
description,710503
details,710503
features,710503
images,710503
main_category,710503
parent_asin,710503
price,710503
rating_number,710503
store,710503
title,710503
videos,710503
details.Date First Available,645215
details.Brand,610385
details.Manufacturer,594161
details.Item Weight,590850
details.Manufacturer Part Number,458709
details.Color,388968
details.Product Dimensions,377416
details.Best Sellers Rank,369346
details.Item model number,368937
details.Best Sellers Rank.Office Products,365295
details.Is Discontinued By Manufacturer,288457
details.Material Type,282283
details.Material,263656
details.Package Dimensions,225557
details.Number of Items,219608
details.Size,204510
details.Special Feature,113456
details.Shape,95463
details.Item Dimensions LxWxH,85401
details.Ink Color,81885
details.Closure,69235
details.Sheet Size,68841
details.Style,68258
details.Age Range (Description),64276
details.Number of Pieces,46125
details.Point Type,45704
details.Target Audience,44881
details.Mounting Type,43731
details.Theme,43576
details.Compatible Devices,42110
details.Binding,37585
details.Format,34505
details.Included Components,33205
details.Cover Material,31518
details.Unit Count,31346
details.Country of Origin,29925
details.Finish Type,29457
details.Year,28974
details.Occasion,28600
details.Closure Type,28504
details.Recommended Uses For Product,24280
details.Compatibility Options,22937
details.Best Sellers Rank.Greeting Cards,22309
details.Page Yield,21400
details.Paper Finish,20895
details.Ruling,20026
details.Pattern,19321
details.Line Size,18659
details.Best Sellers Rank.Inkjet Printer Ink Cartridges,18008
details.Room Type,17850
details.Model Name,17831
details.Ruling Type,17226
details.Batteries Required?,17147
details.Part Number,16311
details.Pre-printed,14878
details.Batteries required,14791
details.Item Package Quantity,14393
details.Best Sellers Rank.Printer Toner Cartridges,13779
details.,12991
details.Assembly Required,12762
details.Batteries Included?,12454
details.Product Care Instructions,11698
details.Department,11602
details.Best Sellers Rank.Mouse Pads,11373
details.Power Source,11205
details.Best Sellers Rank.Badge Holders,11189
details.Best Sellers Rank.Ballpoint Pens,10763
details.Connectivity Technology,10647
details.Number of Labels,10385
details.Sheet Count,9815
author,9692
subtitle,9692
details.Best Sellers Rank.Planners,9676
details.Pencil Lead Degree (Hardness),9108
details.Frame Material,8808
